{M0, M+, g, gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRhZ,BRuu,BRdd,BRll,BRnunu,BRbb,total_widthV+GeV,BRZW,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb, CX+(pb), CX0(pb), CX-(pb)}
{750., 749.0445069560449, 0.6378057209262767, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 33.97130249259652, 0.3762860669835142, 0.6113665592596275, 0.0017948596085551357, 0.0012662695886891855, 0.0008175637928931344, 0.00028897377302718365, 0.001266167450103249, 0.0016393352145055702, 33.66682818930406, 0.39270592731866727, 0., 0.5958148583898502, 0.0027792234458038387, 0.00014907697741803187, 0.0009761001410739563, 0.0026943130218168706, 0.4022847812938442, 0.30912558501672477, 0.1618424628211783}
{800., 799.4510537306857, 0.6390628677932079, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 32.21354746566978, 0.41386682054511137, 0.5672358371006962, 0.002616797717385, 0.0021321641273962136, 0.001059875019173723, 0.000575241429184937, 0.0021319854311336313, 0.0023620838884203118, 32.03232736875323, 0.4287309998008804, 0., 0.5528620302419119, 0.0044454476250542175, 0.00023845290173189851, 0.001561300175595372, 0.00435526837684936, 0.43893621503794955, 0.3171207644853723, 0.17135548183721122}
{850., 849.6117593283805, 0.6401101346041543, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 32.396156402009275, 0.429728858978648, 0.5470740725486579, 0.0031427136184042225, 0.0027034517252133372, 0.0012122984239071335, 0.0007730365307162485, 0.002703239006943009, 0.002845493914645989, 32.265695867003124, 0.4430424324918149, 0., 0.5340890184510645, 0.005511696057899856, 0.0002956462496742288, 0.0019357807691913612, 0.005446522134398384, 0.3996353511517453, 0.28068110026452897, 0.15153212309750572}
{900., 899.7061224404856, 0.6409914871047361, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 33.068899699841374, 0.4393516812954495, 0.534050521630382, 0.003553329335335872, 0.0031549728955260602, 0.0013307887522184452, 0.0009324323124086331, 0.003154744033598879, 0.0032367853849644404, 32.96893430170171, 0.4513091345251399, 0., 0.522327126198855, 0.00634326993365046, 0.00034025170235341866, 0.0022278405453346264, 0.006313174367993674, 0.3471533140810664, 0.23877812852918628, 0.12800064462816985}
{950., 949.7687321364485, 0.6417400238121181, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 33.97481303571856, 0.44587968672030337, 0.5247060338714683, 0.0038904667523943144, 0.003528285429532931, 0.001427926162589832, 0.0010657448397284486, 0.0035280506574490835, 0.003567711379970004, 33.895417504766314, 0.4566654204003725, 0., 0.5140935275729891, 0.007025446207345488, 0.0003768434982028297, 0.0024674299018494395, 0.007034182909993641, 0.29544518057840174, 0.19961603667488098, 0.10602989839446718}
{1000., 999.8131151425073, 0.6423810266957889, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 35.017157261238424, 0.45058637085702413, 0.5176138326648686, 0.004174198454854918, 0.0038438805906989785, 0.0015096345641293848, 0.001179316699973446, 0.003843646129850046, 0.0038531384648408814, 34.95253099072391, 0.4603587781231439, 0., 0.5079732228516013, 0.007599212576627281, 0.0004076202089440233, 0.002668944261857101, 0.007647500668541012, 0.24879899858147136, 0.1654537452903964, 0.08697160168006583}
{1050., 1049.845965820397, 0.6429340641202774, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 36.14879729264064, 0.4541190876441483, 0.5120319921295647, 0.004416714105364986, 0.0041144791300162685, 0.001579468879613427, 0.0012772339042647091, 0.004114248810176321, 0.004102176593713593, 36.095215842709344, 0.4630115073066247, 0., 0.5032420451726334, 0.008089431521682146, 0.00043391545293103507, 0.002841115658204394, 0.008176406596902375, 0.20836260682133992, 0.13656359864784354, 0.07102441416491531}
{1100., 1099.8710495162322, 0.6434144658371771, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 37.34322540697685, 0.45684968511844004, 0.5075232464684808, 0.004626323658273475, 0.0043488991141917045, 0.0016398355040322021, 0.0013624109599504315, 0.004348675261665945, 0.00432120821453501, 37.29814941247607, 0.46497405936679814, 0., 0.4994799744302809, 0.00851302092704249, 0.00045663670203130566, 0.002989885876357931, 0.008636993315699424, 0.17400693908380138, 0.11246970966531175, 0.057892747063929634}
{1150., 1149.8906655404387, 0.6438343742678303, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 38.584073194244176, 0.4590090604412374, 0.5038084660321269, 0.004809077405367086, 0.0045536413039822385, 0.0016924793422376577, 0.0014370432408528106, 0.004553425274414251, 0.0045150430842515275, 38.545696327999515, 0.4664596282018681, 0., 0.4964230586477433, 0.008882275883689464, 0.0004764434624113211, 0.003119573115366928, 0.009041155112086294, 0.14510893470905298, 0.09259324016415428, 0.04716043004686118}
{1200., 1199.9063017840022, 0.64420350498088, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 39.860538842638626, 0.4607486495711669, 0.5006992253126182, 0.004969566179961283, 0.0047336846635506165, 0.0017387213642747067, 0.0015028398478640398, 0.0047334771774061625, 0.004687462615368635, 39.82753452437624, 0.46760512007645333, 0., 0.4938957898459725, 0.009206511142535442, 0.0004938353754056112, 0.003233448839313684, 0.009398050523751056, 0.12095827173921211, 0.07626132934812734, 0.03843648051434463}
